family,method,method_label,function,dimension,samples,top_m,interaction_f1_mean,interaction_f1_std,test_mse_mean,screen_contains_true_interactions_mean,screen_interaction_endpoint_recall_mean,num_runs
kan_native,edge_stability_var,KAN edge-stability,core_interaction_c025,100,512,4,0.7,0.48304589153964794,0.0002823778893798,1.0,1.0,10
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c025,100,512,4,0.8,0.4216370213557839,0.00024803577398411,1.0,1.0,10
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c025,100,512,4,0.7,0.48304589153964794,0.00025399122387167,1.0,1.0,10
kan_native,grad_stability_var,KAN grad-stability,core_interaction_c025,100,512,4,0.8,0.4216370213557839,0.00025853443366937,1.0,1.0,10
screened_control,exclude_interaction,Exclude-endpoints KAN,core_interaction_c025,100,512,4,0.0,0.0,2.7869703710079192,0.0,0.0,10
screened_control,oracle_support,Oracle-support KAN,core_interaction_c025,100,512,4,0.6,0.5163977794943222,0.00025717585958768,1.0,1.0,10
screened_control,rf,RF-screened KAN,core_interaction_c025,100,512,4,0.0,0.0,0.012993674073368261,0.0,0.0,10
screened_control,random,Random-support KAN,core_interaction_c025,100,512,4,0.0,0.0,2.75453160405159,0.0,0.0,10
kan_native,edge_stability_var,KAN edge-stability,core_interaction_c025,100,1024,4,0.6,0.5163977794943222,0.00026984902797262,1.0,1.0,10
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c025,100,1024,4,0.7,0.48304589153964794,0.00026492693868926,1.0,1.0,10
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c025,100,1024,4,0.6,0.5163977794943222,0.00026555552612985,1.0,1.0,10
kan_native,grad_stability_var,KAN grad-stability,core_interaction_c025,100,1024,4,0.6,0.5163977794943222,0.00025928317918435,1.0,1.0,10
screened_control,exclude_interaction,Exclude-endpoints KAN,core_interaction_c025,100,1024,4,0.0,0.0,1.5981901615858078,0.0,0.0,10
screened_control,oracle_support,Oracle-support KAN,core_interaction_c025,100,1024,4,0.4,0.5163977794943222,0.00026012974994951,1.0,1.0,10
screened_control,rf,RF-screened KAN,core_interaction_c025,100,1024,4,0.0,0.0,0.012218766752630419,0.0,0.05,10
screened_control,random,Random-support KAN,core_interaction_c025,100,1024,4,0.0,0.0,1.602774041891098,0.0,0.0,10
kan_native,edge_stability_var,KAN edge-stability,core_interaction_c025,100,1024,5,0.6,0.5163977794943222,0.00187893095280737,1.0,1.0,10
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c025,100,1024,5,0.8,0.4216370213557839,0.00023491134124920088,1.0,1.0,10
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c025,100,1024,5,0.7,0.48304589153964794,0.00150979518803064,1.0,1.0,10
kan_native,grad_stability_var,KAN grad-stability,core_interaction_c025,100,1024,5,0.6,0.5163977794943222,0.00190383138979081,1.0,1.0,10
screened_control,exclude_interaction,Exclude-endpoints KAN,core_interaction_c025,100,1024,5,0.0,0.0,1.87904854118824,0.0,0.0,10
screened_control,oracle_support,Oracle-support KAN,core_interaction_c025,100,1024,5,0.6,0.5163977794943222,0.00310200894891744,1.0,1.0,10
screened_control,rf,RF-screened KAN,core_interaction_c025,100,1024,5,0.0,0.0,0.012311805877834519,0.0,0.0,10
screened_control,random,Random-support KAN,core_interaction_c025,100,1024,5,0.0,0.0,1.8925525426864624,0.0,0.15,10
kan_native,edge_stability_var,KAN edge-stability,core_interaction_c025,100,1024,6,0.6,0.5026246899500345,0.00023173662411859003,1.0,1.0,20
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c025,100,1024,6,0.55,0.5104177855340405,0.000245613831793845,1.0,1.0,20
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c025,100,1024,6,0.75,0.44426165831931924,0.00145513563766139,1.0,1.0,20
kan_native,grad_stability_var,KAN grad-stability,core_interaction_c025,100,1024,6,0.85,0.36634754853252327,0.00041388800964337,1.0,1.0,20
screened_control,exclude_interaction,Exclude-endpoints KAN,core_interaction_c025,100,1024,6,0.0,0.0,2.170779621601105,0.0,0.0,10
screened_control,oracle_support,Oracle-support KAN,core_interaction_c025,100,1024,6,0.6,0.5163977794943222,0.00022446918301280002,1.0,1.0,10
screened_control,rf,RF-screened KAN,core_interaction_c025,100,1024,6,0.0,0.0,0.01243273159489031,0.0,0.05,10
screened_control,random,Random-support KAN,core_interaction_c025,100,1024,6,0.0,0.0,2.1222337990999223,0.0,0.2,10
kan_native,edge_stability_var,KAN edge-stability,core_interaction_c025,100,2048,6,0.9,0.31622776601683794,0.0003731584438355033,1.0,1.0,10
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c025,100,2048,6,0.8,0.4216370213557839,0.00019862160261249615,1.0,1.0,10
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c025,100,2048,6,0.8,0.4216370213557839,0.00020300757314538885,1.0,1.0,10
kan_native,grad_stability_var,KAN grad-stability,core_interaction_c025,100,2048,6,0.6,0.5163977794943222,0.0002401403005933,1.0,1.0,10
screened_control,exclude_interaction,Exclude-endpoints KAN,core_interaction_c025,100,2048,6,0.0,0.0,1.3430105164647101,0.0,0.0,10
screened_control,oracle_support,Oracle-support KAN,core_interaction_c025,100,2048,6,0.8,0.4216370213557839,0.00035585278819776,1.0,1.0,10
screened_control,rf,RF-screened KAN,core_interaction_c025,100,2048,6,0.1,0.31622776601683794,0.01067225438309828,0.1,0.25,10
screened_control,random,Random-support KAN,core_interaction_c025,100,2048,6,0.0,0.0,1.2812422424554826,0.0,0.2,10
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c025,500,2048,6,0.5,0.5345224838248488,0.001757642388838525,1.0,1.0,8
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c025,500,2048,6,0.25,0.4629100498862757,0.001724784327052425,1.0,1.0,8
screened_control,exclude_interaction,Exclude-endpoints KAN,core_interaction_c025,500,2048,6,0.0,0.0,1.4117164611816406,0.0,0.0,8
screened_control,oracle_support,Oracle-support KAN,core_interaction_c025,500,2048,6,0.375,0.5175491695067657,0.0032271667696476877,1.0,1.0,8
screened_control,rf,RF-screened KAN,core_interaction_c025,500,2048,6,0.0,0.0,0.012249800725839987,0.0,0.0625,8
screened_control,random,Random-support KAN,core_interaction_c025,500,2048,6,0.0,0.0,1.4195345044136047,0.0,0.0,8
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c025,1000,2048,6,0.0,0.0,0.012299583409912837,0.0,0.0,8
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c025,1000,2048,6,0.0,0.0,0.012214895570650638,0.0,0.0,8
kan_native,edge_stability_var,KAN edge-stability,core_interaction_c05,100,512,4,0.7,0.48304589153964794,0.00033056666143233004,1.0,1.0,10
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c05,100,512,4,0.8,0.4216370213557839,0.00031056618317956,1.0,1.0,10
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c05,100,512,4,0.7,0.48304589153964794,0.00031968225666781,1.0,1.0,10
kan_native,grad_stability_var,KAN grad-stability,core_interaction_c05,100,512,4,0.8,0.4216370213557839,0.00031936098384897997,1.0,1.0,10
kan_native,edge_stability_var,KAN edge-stability,core_interaction_c05,100,512,5,0.8,0.4216370213557839,0.00025753181835164,1.0,1.0,10
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c05,100,512,5,0.8,0.4216370213557839,0.00024937963607947,1.0,1.0,10
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c05,100,512,5,0.9,0.31622776601683794,0.00025667757436162003,1.0,1.0,10
kan_native,grad_stability_var,KAN grad-stability,core_interaction_c05,100,512,5,0.0,0.0,0.10609550550580023,0.0,0.5,10
screened_control,exclude_interaction,Exclude-endpoints KAN,core_interaction_c05,100,512,5,0.0,0.0,3.2764999091625215,0.0,0.0,10
screened_control,oracle_support,Oracle-support KAN,core_interaction_c05,100,512,5,0.8,0.4216370213557839,0.00028779750573445,1.0,1.0,10
screened_control,rf,RF-screened KAN,core_interaction_c05,100,512,5,0.0,0.0,0.09884889572858806,0.0,0.25,10
screened_control,random,Random-support KAN,core_interaction_c05,100,512,5,0.0,0.0,3.4058204531669616,0.0,0.15,10
kan_native,edge_stability_var,KAN edge-stability,core_interaction_c05,100,512,6,0.8,0.4216370213557839,0.00026546366643737,1.0,1.0,10
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c05,100,512,6,0.7,0.48304589153964794,0.00029920716333430003,1.0,1.0,10
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c05,100,512,6,0.9,0.31622776601683794,0.00032882403174875,1.0,1.0,10
kan_native,grad_stability_var,KAN grad-stability,core_interaction_c05,100,512,6,0.8,0.4216370213557839,0.00026972965788439943,1.0,1.0,10
kan_native,edge_stability_var,KAN edge-stability,core_interaction_c05,100,1024,5,0.9,0.31622776601683794,0.00022117575426813997,1.0,1.0,10
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c05,100,1024,5,1.0,0.0,0.00022058878967068997,1.0,1.0,10
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c05,100,1024,5,0.9,0.31622776601683794,0.00026065194542747,1.0,1.0,10
screened_control,exclude_interaction,Exclude-endpoints KAN,core_interaction_c05,100,1024,5,0.0,0.0,1.9033235311508179,0.0,0.0,10
screened_control,oracle_support,Oracle-support KAN,core_interaction_c05,100,1024,5,0.9,0.31622776601683794,0.00023680895246792002,1.0,1.0,10
screened_control,rf,RF-screened KAN,core_interaction_c05,100,1024,5,0.1,0.31622776601683794,0.04966895039542573,0.1,0.35,10
screened_control,random,Random-support KAN,core_interaction_c05,100,1024,5,0.0,0.0,1.816128247976303,0.0,0.15,10
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c05,500,1024,6,0.0,0.0,0.06021694140508766,0.0,0.0,8
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c05,500,1024,6,0.0,0.0,0.06030322331935164,0.0,0.5,8
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c05,1000,1024,6,0.0,0.0,0.05894730333238836,0.0,0.0,8
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c05,1000,1024,6,0.0,0.0,0.06301663350313896,0.0,0.0,8
kan_native,edge_stability_var,KAN edge-stability,core_interaction_c1,100,512,4,1.0,0.0,0.00031356538383985,1.0,1.0,10
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c1,100,512,4,1.0,0.0,0.00035070804879064,1.0,1.0,10
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c1,100,512,4,1.0,0.0,0.00032197921100299,1.0,1.0,10
kan_native,grad_stability_var,KAN grad-stability,core_interaction_c1,100,512,4,1.0,0.0,0.0003209230388165,1.0,1.0,10
kan_native,edge_stability_var,KAN edge-stability,core_interaction_c1,100,512,5,1.0,0.0,0.00032168290199475005,1.0,1.0,10
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c1,100,512,5,1.0,0.0,0.00025907295203065,1.0,1.0,10
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c1,100,512,5,1.0,0.0,0.00025989070709324136,1.0,1.0,10
screened_control,exclude_interaction,Exclude-endpoints KAN,core_interaction_c1,100,512,5,0.0,0.0,3.0566670656204225,0.0,0.0,10
screened_control,oracle_support,Oracle-support KAN,core_interaction_c1,100,512,5,1.0,0.0,0.00031524554797211,1.0,1.0,10
screened_control,rf,RF-screened KAN,core_interaction_c1,100,512,5,0.6,0.5163977794943222,0.17957728625333397,0.6,0.75,10
screened_control,random,Random-support KAN,core_interaction_c1,100,512,5,0.0,0.0,3.1510164380073546,0.0,0.15,10
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c1,500,1024,6,1.0,0.0,0.0003098221513937,1.0,1.0,8
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c1,500,1024,6,1.0,0.0,0.0002369830672250125,1.0,1.0,8
kan_native,feature_edge_hybrid,KAN feature+edge,core_interaction_c1,1000,1024,6,0.0,0.0,0.315595418214798,0.0,0.0,8
kan_native,feature_stability_var,KAN feature-stability,core_interaction_c1,1000,1024,6,0.0,0.0,0.29357285611331463,0.0,0.0,8
